gndr,nm,cnt
FEMALE,Amora,15
FEMALE,Khadijah,15
FEMALE,Leila,15
FEMALE,Amara,15
FEMALE,Sarah,15
FEMALE,Dior,15
FEMALE,Royalty,15
FEMALE,Aicha,15
FEMALE,Ryan,15
FEMALE,Aubrey,15
FEMALE,Maya,15
FEMALE,Milan,15
FEMALE,Bintou,14
FEMALE,Shiloh,14
FEMALE,Isabelle,14
FEMALE,Melanie,14
FEMALE,Sage,14
FEMALE,Winter,14
FEMALE,Milani,14
FEMALE,Journey,14
FEMALE,Aliyah,14
FEMALE,Michelle,14
FEMALE,Laila,14
FEMALE,Zainab,13
FEMALE,Trinity,13
FEMALE,Jaliyah,13
FEMALE,Emily,13
FEMALE,Hailey,13
FEMALE,Alexis,13
FEMALE,Jasmine,13
FEMALE,Amirah,13
FEMALE,Hope,13
FEMALE,Londyn,12
FEMALE,Kori,12
FEMALE,Nia,12
FEMALE,Anaya,12
FEMALE,Luna,12
FEMALE,Eva,12
FEMALE,Maryam,12
FEMALE,Cali,12
FEMALE,Arianna,12
FEMALE,Elizabeth,12
FEMALE,Skylah,12
FEMALE,Jewel,12
FEMALE,Janiyah,11
FEMALE,Egypt,11
FEMALE,Eliana,11
FEMALE,Jada,11
FEMALE,Amayah,11
FEMALE,Kalani,11
FEMALE,Sapphire,11
FEMALE,Aniyah,11
FEMALE,Lauren,11
FEMALE,Chelsea,11
FEMALE,Morgan,11
FEMALE,Aurora,11
FEMALE,Brianna,11
FEMALE,Mckenzie,11
FEMALE,Zora,11
FEMALE,Zara,11
FEMALE,Tori,11
FEMALE,Amani,10
FEMALE,Khadija,10
FEMALE,Kenzie,10
FEMALE,Zariah,10
FEMALE,Sariyah,10
FEMALE,Oumou,10
FEMALE,Royal,10
FEMALE,Khaleesi,10
FEMALE,Hawa,10
FEMALE,Ariyah,10
FEMALE,Sanai,10
FEMALE,Zhuri,10
FEMALE,Eden,10
FEMALE,Gia,10
FEMALE,Lauryn,10
FEMALE,Nailah,10
FEMALE,Kamiyah,10
FEMALE,Sevyn,10
FEMALE,Nala,10
FEMALE,Isabella,231
FEMALE,Emma,213
FEMALE,Sophia,193
FEMALE,Mia,184
FEMALE,Camila,162
FEMALE,Luna,154
FEMALE,Valentina,123
FEMALE,Sofia,115
FEMALE,Victoria,104
FEMALE,Ava,101
FEMALE,Olivia,101
FEMALE,Amelia,99
FEMALE,Leah,94
FEMALE,Alaia,94
FEMALE,Zoe,91
FEMALE,Genesis,88
FEMALE,Abigail,86
FEMALE,Scarlett,85
FEMALE,Emily,81
FEMALE,Ashley,76
FEMALE,Ariana,74
FEMALE,Penelope,73
FEMALE,Samantha,71
FEMALE,Charlotte,68
FEMALE,Hailey,66
FEMALE,Mila,66
FEMALE,Chloe,61
FEMALE,Elizabeth,60
FEMALE,Melanie,55
FEMALE,Madison,54
FEMALE,Allison,54
FEMALE,Gianna,53
FEMALE,Bella,52
FEMALE,Elena,52
FEMALE,Amy,50
FEMALE,Amaya,50
FEMALE,Kaylee,49
FEMALE,Grace,48
FEMALE,Valerie,47
FEMALE,Alexa,45
FEMALE,Emilia,45
FEMALE,Gabriella,45
FEMALE,Eliana,44
FEMALE,Arya,43
FEMALE,Daniela,43
FEMALE,Brianna,43
FEMALE,Riley,42
FEMALE,Kimberly,42
FEMALE,Maya,40
FEMALE,Valeria,40
FEMALE,Sarah,39
FEMALE,Arianna,39
FEMALE,Jade,39
FEMALE,Kylie,38
FEMALE,Ana,37
FEMALE,Layla,37
FEMALE,Amaia,36
FEMALE,Aria,36
FEMALE,Emely,36
FEMALE,Amalia,35
FEMALE,Leilani,35
FEMALE,Natalie,35
FEMALE,Aaliyah,35
FEMALE,Andrea,33
FEMALE,Eva,33
FEMALE,Zoey,33
FEMALE,Hannah,33
FEMALE,Evelyn,33
FEMALE,Jayleen,32
FEMALE,Samara,31
FEMALE,Lia,31
FEMALE,Alison,30
FEMALE,Juliet,30
FEMALE,Kayla,29
FEMALE,Isabel,29
FEMALE,Khloe,29
FEMALE,Maria,29
FEMALE,Melody,29
FEMALE,Savannah,29
FEMALE,Violet,29
FEMALE,Kamila,28
FEMALE,Kiara,28
FEMALE,Lucia,28
FEMALE,Rose,28
FEMALE,Diana,28
FEMALE,Natalia,27
FEMALE,Jazlyn,27
FEMALE,Alice,27
FEMALE,Aliyah,27
FEMALE,Gabriela,27
FEMALE,Celine,26
FEMALE,Serenity,26
FEMALE,Michelle,26
FEMALE,Ella,26
FEMALE,Athena,26
FEMALE,Antonella,25
FEMALE,Alina,25
FEMALE,Sarai,25
FEMALE,Juliette,25
FEMALE,Alexandra,24
FEMALE,Amanda,24
FEMALE,Avery,24
FEMALE,Kaylani,24
FEMALE,Aurora,23
FEMALE,Stephanie,23
FEMALE,Alyssa,22
FEMALE,Nicole,22
FEMALE,Jasmine,22
FEMALE,Nova,22
FEMALE,Adriana,21
FEMALE,Alana,21
FEMALE,Maia,21
FEMALE,Ximena,21
FEMALE,Danna,20
FEMALE,Ariella,20
FEMALE,Esther,20
FEMALE,Liliana,20
FEMALE,London,20
FEMALE,Skylar,20
FEMALE,Melany,20
FEMALE,Aleah,19
FEMALE,Catalina,19
FEMALE,Sophie,19
FEMALE,Naomi,19
FEMALE,Leslie,19
FEMALE,Vanessa,18
FEMALE,Giselle,18
FEMALE,Ellie,18
FEMALE,Itzel,18
FEMALE,Daniella,18
FEMALE,Destiny,18
FEMALE,Liana,18
FEMALE,Mariana,18
FEMALE,Aubrey,18
FEMALE,Sienna,18
FEMALE,Angela,18
FEMALE,Kailani,17
FEMALE,Angelina,17
FEMALE,Katherine,17
FEMALE,Ruby,17
FEMALE,Valery,17
FEMALE,Madelyn,17
FEMALE,Yaretzi,17
FEMALE,Angie,17
FEMALE,Zara,16
FEMALE,Rachel,16
FEMALE,Luciana,16
FEMALE,Juliana,16
FEMALE,Nyla,16
FEMALE,Keyla,16
FEMALE,Brielle,16
FEMALE,Amira,16
FEMALE,Amber,16
FEMALE,Anastasia,16
FEMALE,Autumn,16
FEMALE,Briana,16
FEMALE,Jayla,16
FEMALE,Alessia,16
FEMALE,Alia,16
FEMALE,Jazmin,16
FEMALE,Julia,15
FEMALE,Laila,15
FEMALE,Esmeralda,15
FEMALE,Kehlani,15
FEMALE,Dayana,15
FEMALE,Alma,15
FEMALE,Nylah,15
FEMALE,Malia,15
FEMALE,Alondra,15
FEMALE,Dahlia,15
FEMALE,Eliza,15
FEMALE,Melissa,14
FEMALE,Lizbeth,14
FEMALE,Mya,14
FEMALE,Alanna,14
FEMALE,Lily,14
FEMALE,Audrey,14
FEMALE,Eileen,14
FEMALE,Selena,14
FEMALE,Sara,14
FEMALE,Summer,14
FEMALE,Nashla,14
FEMALE,Elisa,14
FEMALE,Leila,13
FEMALE,Liah,13
FEMALE,Lauren,13
FEMALE,Meghan,13
FEMALE,Julissa,13
FEMALE,Khaleesi,13
FEMALE,Stella,13
FEMALE,Angelica,13
FEMALE,Annalise,13
FEMALE,Analia,13
FEMALE,April,13
FEMALE,Adeline,13
FEMALE,Ariel,13
FEMALE,Alani,13
FEMALE,Delilah,13
FEMALE,Luz,13
FEMALE,Heaven,13
FEMALE,Amara,12
FEMALE,Dara,12
FEMALE,Aileen,12
FEMALE,Elianny,12
FEMALE,Guadalupe,12
FEMALE,Alayna,12
FEMALE,Lesly,12
FEMALE,Miah,12
FEMALE,Zuri,12
FEMALE,Karen,12
FEMALE,Isabelle,12
FEMALE,Isabela,12
FEMALE,Jessica,12
FEMALE,Kaitlyn,12
FEMALE,Jennifer,11
FEMALE,Jaylin,11
FEMALE,Miracle,11
FEMALE,Fernanda,11
FEMALE,Heidy,11
FEMALE,Cali,11
FEMALE,Evangeline,11
FEMALE,Everly,11
FEMALE,Arlette,11
FEMALE,Miranda,11
FEMALE,Rylee,11
FEMALE,Aubree,11
FEMALE,Bianca,11
FEMALE,Ayla,11
FEMALE,Ailani,11
FEMALE,Adelynn,11
FEMALE,Alicia,11
FEMALE,Gia,10
FEMALE,Abby,10
FEMALE,Cataleya,10
FEMALE,Harley,10
FEMALE,Milani,10
FEMALE,Lyanna,10
FEMALE,Mackenzie,10
FEMALE,Nina,10
FEMALE,Keily,10
FEMALE,Laia,10
FEMALE,Litzy,10
FEMALE,Scarlet,10
FEMALE,Adele,10
FEMALE,Kali,10
FEMALE,Sherlyn,10
FEMALE,Yaritza,10
FEMALE,Yareli,10
FEMALE,Crystal,10
FEMALE,Izabella,10
FEMALE,Alahia,10
FEMALE,Julianna,10
FEMALE,Skyla,10
FEMALE,Tiffany,10
FEMALE,Chaya,209
FEMALE,Leah,207
FEMALE,Esther,202
FEMALE,Olivia,200
FEMALE,Miriam,193
FEMALE,Emma,186
FEMALE,Rachel,171
FEMALE,Sarah,168
FEMALE,Charlotte,158
FEMALE,Sophia,154
FEMALE,Rivka,138
FEMALE,Sara,138
FEMALE,Mia,134
FEMALE,Chana,124
FEMALE,Ella,118
FEMALE,Sofia,116
FEMALE,Emily,108
FEMALE,Ava,107
FEMALE,Gitty,99
FEMALE,Maya,96
FEMALE,Lily,95
FEMALE,Amelia,93
FEMALE,Zoe,93
FEMALE,Penelope,89
FEMALE,Sophie,89
FEMALE,Faigy,86
FEMALE,Isabella,86
FEMALE,Victoria,80
FEMALE,Mila,79
FEMALE,Malky,77
FEMALE,Alexandra,74
FEMALE,Emilia,73
FEMALE,Elizabeth,73
FEMALE,Abigail,72
FEMALE,Rivky,72
FEMALE,Eleanor,70
FEMALE,Baila,69
FEMALE,Hannah,69
FEMALE,Grace,66
FEMALE,Avery,65
FEMALE,Chloe,64
FEMALE,Julia,63
FEMALE,Nora,63
FEMALE,Anna,61
FEMALE,Malka,60
FEMALE,Layla,60
FEMALE,Eva,60
FEMALE,Evelyn,59
FEMALE,Eliana,58
FEMALE,Aria,58
FEMALE,Madison,58
FEMALE,Stella,58
FEMALE,Ruby,57
FEMALE,Violet,56
FEMALE,Rose,55
FEMALE,Josephine,54
FEMALE,Gabriella,54
FEMALE,Lucy,54
FEMALE,Isla,53
FEMALE,Raizy,53
FEMALE,Scarlett,53
FEMALE,Sienna,53
FEMALE,Dina,51
FEMALE,Riley,51
FEMALE,Noa,50
FEMALE,Harper,49
FEMALE,Naomi,48
FEMALE,Valentina,48
FEMALE,Margot,47
FEMALE,Devorah,47
FEMALE,Hindy,47
FEMALE,Chany,45
FEMALE,Clara,45
FEMALE,Lillian,45
FEMALE,Sadie,45
FEMALE,Shaindy,45
FEMALE,Juliette,44
FEMALE,Luna,44
FEMALE,Toby,43
FEMALE,Vivian,43
FEMALE,Chava,42
FEMALE,Esty,42
FEMALE,Rebecca,41
FEMALE,Natalie,41
FEMALE,Isabel,40
FEMALE,Maria,40
FEMALE,Libby,40
FEMALE,Sury,40
FEMALE,Alice,39
FEMALE,Talia,39
FEMALE,Ariana,39
FEMALE,Molly,37
FEMALE,Claire,37
FEMALE,Yitty,36
FEMALE,Sloane,35
FEMALE,Caroline,35
FEMALE,Eloise,35
FEMALE,Hazel,35
FEMALE,Margaret,35
FEMALE,Isabelle,34
FEMALE,Ariella,34
FEMALE,Madeline,34
FEMALE,Yides,34
FEMALE,Quinn,33
FEMALE,Nina,33
FEMALE,Beatrice,32
FEMALE,Bella,32
FEMALE,Vera,31
FEMALE,Ellie,30
FEMALE,Fraidy,30
FEMALE,Lila,30
FEMALE,Liliana,30
FEMALE,Lucia,30
FEMALE,Lyla,30
FEMALE,Adele,30
FEMALE,Amina,30
FEMALE,Audrey,30
FEMALE,Alessia,29
FEMALE,Aurora,29
FEMALE,Francesca,29
FEMALE,Gianna,29
FEMALE,Kayla,29
FEMALE,Maeve,29
FEMALE,Goldy,28
FEMALE,Jane,28
FEMALE,Pearl,28
FEMALE,Fiona,28
FEMALE,Ayla,28
FEMALE,Ada,28
FEMALE,Cecilia,27
FEMALE,Ruchy,27
FEMALE,Henny,27
FEMALE,Madeleine,26
FEMALE,Hailey,26
FEMALE,Nechama,26
FEMALE,Skylar,25
FEMALE,Celine,25
FEMALE,Frances,25
FEMALE,Liv,25
FEMALE,Catherine,24
FEMALE,Gemma,24
FEMALE,Mindy,24
FEMALE,Juliana,24
FEMALE,Sabrina,24
FEMALE,Lina,24
FEMALE,Nicole,24
FEMALE,Bruchy,24
FEMALE,Angelina,24
FEMALE,June,23
FEMALE,Sasha,23
FEMALE,Juliet,23
FEMALE,Adeline,23
FEMALE,Annabelle,23
FEMALE,Bracha,23
FEMALE,Eliza,23
FEMALE,Elle,23
FEMALE,Mariam,22
FEMALE,Olive,22
FEMALE,Parker,22
FEMALE,Lea,22
FEMALE,Samantha,22
FEMALE,Alessandra,22
FEMALE,Arianna,22
FEMALE,Siena,22
FEMALE,Chavy,22
FEMALE,Yael,22
FEMALE,Yehudis,22
FEMALE,Zissy,21
FEMALE,Layan,21
FEMALE,Pessy,21
FEMALE,Vivienne,21
FEMALE,Yocheved,21
FEMALE,Blima,21
FEMALE,Breindy,21
FEMALE,Dylan,21
FEMALE,Alma,21
FEMALE,Etty,21
FEMALE,Faiga,21
FEMALE,Adina,21
FEMALE,Aisha,21
FEMALE,Adriana,20
FEMALE,Diana,20
FEMALE,Simone,20
FEMALE,Sydney,20
FEMALE,Anastasia,20
FEMALE,Elisheva,20
FEMALE,Poppy,20
FEMALE,Shoshana,20
FEMALE,Rochel,20
FEMALE,Zoey,20
FEMALE,Serena,20
FEMALE,Iris,20
FEMALE,Hinda,20
FEMALE,Kaia,20
FEMALE,Laila,20
FEMALE,Maryam,20
FEMALE,Eve,19
FEMALE,Blimy,19
FEMALE,Elena,19
FEMALE,Frimet,19
FEMALE,Liba,19
FEMALE,Mackenzie,19
FEMALE,Reese,19
FEMALE,Imona,19
FEMALE,Veronica,19
FEMALE,Adelaide,19
FEMALE,Lana,19
FEMALE,Leila,19
FEMALE,Lena,19
FEMALE,Ahuva,19
FEMALE,Colette,18
FEMALE,Devora,18
FEMALE,Addison,18
FEMALE,Eden,18
FEMALE,Louise,18
FEMALE,Edith,18
FEMALE,Raizel,18
FEMALE,Hadassah,18
FEMALE,Lia,18
FEMALE,Georgia,18
FEMALE,Liana,18
FEMALE,Blake,17
FEMALE,Emmy,17
FEMALE,Batsheva,17
FEMALE,Willa,17
FEMALE,Jenna,17
FEMALE,Phoebe,17
FEMALE,Perel,17
FEMALE,Savannah,17
FEMALE,Katherine,17
FEMALE,Madelyn,17
FEMALE,Mary,17
FEMALE,Paige,17
FEMALE,Summer,17
FEMALE,Michelle,16
FEMALE,Piper,16
FEMALE,Lilah,16
FEMALE,Jana,16
FEMALE,Cora,16
FEMALE,Esme,16
FEMALE,Ruth,16
FEMALE,Frady,16
FEMALE,Genevieve,16
FEMALE,Shaindel,16
FEMALE,Gittel,16
FEMALE,Aviva,15
FEMALE,Ana,15
FEMALE,Elise,15
FEMALE,Everly,15
FEMALE,Roizy,15
FEMALE,Sima,15
FEMALE,Luciana,15
FEMALE,Amelie,15
FEMALE,Lara,15
FEMALE,Lilly,15
FEMALE,Mira,15
FEMALE,Frida,15
FEMALE,Hanna,15
FEMALE,Ivy,15
FEMALE,Keira,15
FEMALE,Remi,15
FEMALE,Amira,15
FEMALE,Arya,14
FEMALE,Laura,14
FEMALE,Autumn,14
FEMALE,Aliza,14
FEMALE,Idy,14
FEMALE,Willow,14
FEMALE,Julianna,14
FEMALE,Lola,14
FEMALE,Emerson,14
FEMALE,Charlie,14
FEMALE,Camilla,14
FEMALE,Louisa,14
FEMALE,Malika,14
FEMALE,Matilda,14
FEMALE,Nova,14
FEMALE,Giuliana,14
FEMALE,Rosa,14
FEMALE,Shevy,14
FEMALE,Suri,14
FEMALE,Romy,13
FEMALE,Alyssa,13
FEMALE,Annabel,13
FEMALE,Daniella,13
FEMALE,Morgan,13
FEMALE,Sylvie,13
FEMALE,Nadia,13
FEMALE,Alina,13
FEMALE,Tziporah,13
FEMALE,Daphne,13
FEMALE,Remy,13
FEMALE,Zelda,13
FEMALE,Evie,13
FEMALE,Iymona,13
FEMALE,Vienna,13
FEMALE,Jessica,13
FEMALE,Elliott,13
FEMALE,Kamila,13
FEMALE,Jade,13
FEMALE,Thea,12
FEMALE,Shaina,12
FEMALE,Sylvia,12
FEMALE,Tzippy,12
FEMALE,Allison,12
FEMALE,Athena,12
FEMALE,Yasmina,12
FEMALE,Aurelia,12
FEMALE,Ayala,12
FEMALE,Bianca,12
FEMALE,Bina,12
FEMALE,Brooke,12
FEMALE,Dana,12
FEMALE,Devoiry,12
FEMALE,Estelle,12
FEMALE,Emery,12
FEMALE,Fradel,12
FEMALE,Gabriela,12
FEMALE,Gabrielle,12
FEMALE,Georgina,12
FEMALE,Golda,12
FEMALE,Jasmine,12
FEMALE,Muslima,12
FEMALE,Malak,12
FEMALE,Nava,12
FEMALE,Perry,12
FEMALE,Hendy,11
FEMALE,Ines,11
FEMALE,Jacqueline,11
FEMALE,Livia,11
FEMALE,Meira,11
FEMALE,Anya,11
FEMALE,Lucille,11
FEMALE,Melissa,11
FEMALE,Aubrey,11
FEMALE,Leia,11
FEMALE,Milana,11
FEMALE,Brielle,11
FEMALE,Michal,11
FEMALE,Reem,11
FEMALE,Peyton,11
FEMALE,Millie,11
FEMALE,Rosie,11
FEMALE,Noor,11
FEMALE,Ruchel,11
FEMALE,Samira,11
FEMALE,Camila,11
FEMALE,Shifra,11
FEMALE,Tzipora,11
FEMALE,Celia,11
FEMALE,Shira,11
FEMALE,Winnie,11
FEMALE,Zara,11
FEMALE,Dalia,11
FEMALE,Dua,11
FEMALE,Aya,11
FEMALE,Ester,11
FEMALE,Goldie,11
FEMALE,Helena,11
FEMALE,Frieda,10
FEMALE,Juniper,10
FEMALE,Giovanna,10
FEMALE,Kira,10
FEMALE,Lydia,10
FEMALE,Noelle,10
FEMALE,Lielle,10
FEMALE,Natalia,10
FEMALE,Miri,10
FEMALE,Reizy,10
FEMALE,Riva,10
FEMALE,Serafina,10
FEMALE,Tessa,10
FEMALE,Aliya,10
FEMALE,Blair,10
FEMALE,Astrid,10
FEMALE,Amara,10
FEMALE,Brooklyn,10
FEMALE,Brianna,10
FEMALE,Camille,10
FEMALE,Celeste,10
FEMALE,Dahlia,10
FEMALE,Devory,10
FEMALE,Fatima,10
MALE,Ethan,154
MALE,Lucas,153
MALE,Aiden,147
MALE,Muhammad,143
MALE,Jayden,118
MALE,Ryan,110
MALE,Jasper,107
MALE,Liam,80
MALE,Daniel,73
MALE,Noah,69
MALE,Mason,65
MALE,Leo,58
MALE,William,58
MALE,Ayaan,57
MALE,Evan,56
MALE,Nathan,55
MALE,Alexander,53
MALE,Jason,52
MALE,Oliver,51
MALE,Henry,48
MALE,Mohammad,47
MALE,Austin,46
MALE,Kyle,46
MALE,Aaron,45
MALE,Arham,42
MALE,Dylan,42
MALE,Eric,41
MALE,Justin,41
MALE,Matthew,40
MALE,Ibrahim,39
MALE,Andrew,39
MALE,Abdullah,38
MALE,Adam,38
MALE,Ian,37
